user_uid,num_clusters,total_locations,tiempo_medio_casa,L,M,X,J,V,S,D,media_horas_rutina,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,porcentaje_andando,porcentaje_ave,porcentaje_avion,porcentaje_corriendo,porcentaje_coche,porcentaje_metro,porcentaje_impreciso,porcentaje_no_moverse,porcentaje_desconocido,service,area_km2,afternoon,morning,night,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,avg_speed_kmh,max_speed_kmh,motion_ratio
222,1,101,5.9634343434343435,4.0,4.0,2.0,6.0,3.0,4.0,3.0,3.7142857142857144,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.19,0.79,0.01,18,3.9292782732875624,16.68868339938353,35.270805812417436,48.04051078819903,24.26243945398503,15.984147952443859,12.681638044914134,14.134742404227213,7.970057243505063,10.127697049757815,14.839277851166887,0.0,0.0,59.004843681197706,0.0,0.6605019815059445,0.0,0.0,0.0,0.0,40.33465433729634,0.0,0.0,0.04045879180599703,1.8119117717775728,0.01
230,19,8435,4.837688947075736,7.0,7.0,5.0,6.0,10.0,7.0,5.0,6.714285714285714,6.0,5.0,3.0,5.0,6.0,6.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13264688067837674,0.007026044821320412,0.013930950938824955,0.13918837068443368,0.15130224106602058,0.023622047244094488,0.2220472440944882,0.2938824954572986,0.01635372501514234,18,467561.9801427676,47.98224934128415,24.795451393704063,27.22229926501179,17.445569269172097,12.612675079739288,14.450145610872278,12.647344335043684,14.4432117598114,12.716682845652475,15.684371099708777,7.176535848009985,12.064900845929829,7.849119400915268,7.190403550131744,6.580224656774372,10.47011510192761,10.629593676327833,8.00859797531549,10.615725974206073,5.6372209124948,6.289002912217445,7.488559145749549,139.7198122846949,123133.31117571426,0.46771653543307085
242,15,8964,9.117980392156863,12.0,9.0,6.0,10.0,15.0,21.0,24.0,13.857142857142858,7.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,6.0,0.019406575781876503,0.0,0.0,0.013953488372093023,0.02293504410585405,0.00032076984763432237,0.03400160384923817,0.9092221331194867,0.00016038492381716118,18,111816.75627424486,43.46899045146937,27.931769722814497,28.59923982571614,10.104755724483175,21.35904329285251,7.008436080467229,13.86854547140076,16.037823305831093,14.36914804857699,17.252248076388245,0.0,5.61787336608881,8.58440715676277,0.0,0.0,0.0,0.0,0.0,0.0,44.30332808009641,36.321498099564295,5.172893297487717,1.0321937207396858,114.52621563506847,0.0566158781074579
256,3,116,4.579305555555555,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.9655172413793104,0.008620689655172414,18,2.236468252379563,0.0,25.0,75.0,0.0,0.0,11.29032258064516,88.70967741935483,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394604205864685,27.56235006688973,0.02586206896551724
256,3,116,4.579305555555555,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.9655172413793104,0.008620689655172414,18,2.236468252379563,0.0,25.0,75.0,0.0,0.0,11.29032258064516,88.70967741935483,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394604205864685,27.56235006688973,0.02586206896551724
256,3,116,4.579305555555555,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.9655172413793104,0.008620689655172414,18,2.236468252379563,0.0,25.0,75.0,0.0,0.0,11.29032258064516,88.70967741935483,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394604205864685,27.56235006688973,0.02586206896551724
276,42,2781,2.5586228482003133,8.0,14.0,14.0,9.0,4.0,13.0,9.0,10.142857142857142,4.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,3.0,0.0,3.0,0.09132231404958678,0.01818181818181818,0.006611570247933884,0.03140495867768595,0.047933884297520664,0.03595041322314049,0.09380165289256198,0.6743801652892562,0.00041322314049586776,18,1215533.1746968708,29.804142739950777,29.347826086956523,40.8480311730927,16.083880229696472,14.212469237079572,14.463699753896636,13.253691550451189,13.90996718621821,14.222723543888433,13.853568498769484,0.0,6.59864643150123,0.0,0.0,0.0,0.05127153404429861,0.6357670221493027,0.0,0.0,0.0,45.457342083675144,47.25697292863003,15.059427329746354,597.3791188471316,0.23140495867768596
291,7,3101,13.471859903381642,18.0,24.0,18.0,24.0,24.0,24.0,24.0,22.285714285714285,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,0.023218316672041276,0.0,0.0,0.0019348597226701064,0.0012899064817800709,0.0,0.04417929700096743,0.9290551435020961,0.0003224766204450177,18,248.5913711004408,33.410271206001156,23.48528563185228,43.104443162146566,8.078476630121177,14.800923254472014,9.809578765147144,14.541257934218118,11.54068090017311,20.369301788805537,20.859780727062898,0.0,0.0,0.0,0.0,0.0,0.0,97.14368147720715,0.0,2.856318522792845,0.0,0.0,0.0,0.2002728519395935,22.70612941146372,0.026443082876491456
295,5,982,3.475855555555556,15.0,5.0,13.0,6.0,12.0,21.0,20.0,13.142857142857142,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,6.0,4.0,3.0,4.0,6.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,0.002036659877800407,0.003054989816700611,0.0050916496945010185,0.01120162932790224,0.0274949083503055,0.020366598778004074,0.029531568228105907,0.90020366598778,0.0010183299389002036,18,9893.52547973781,32.375979112271544,28.98172323759791,38.642297650130544,16.64490861618799,22.58485639686684,13.577023498694519,24.738903394255875,5.809399477806789,4.503916449086162,12.140992167101828,0.0,0.0,0.0,0.0,0.0,51.04438642297651,48.9556135770235,0.0,0.0,0.0,0.0,0.0,8.55410268409826,915.7824675715713,0.06924643584521385
316,11,2145,14.237179487179487,22.0,24.0,19.0,23.0,16.0,24.0,24.0,21.714285714285715,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,0.11328976034858387,0.0,0.0,0.013616557734204794,0.0,0.0,0.38507625272331153,0.4874727668845316,0.0005446623093681918,18,45.549186161719476,30.286278381046394,28.71777997148185,40.99594164747175,14.864538773719424,14.357793133706261,14.941318416145663,14.875507294066031,13.802786004168038,13.460568169353953,13.697488208840628,19.398925085006034,0.0,19.438411758253814,17.795327410332344,19.929801469781726,0.0,0.45409674234945707,18.517056049138972,3.667873203904793,0.7985082812328617,0.0,0.0,0.5024129685790325,13.890309308349222,0.12690631808278868
